a,um
eye,olho
I,eu
oh,ó
at,em
out,fora
eight,oito
it,este
eat,comer
about,sobre
able,capaz
above,acima
object,objeto
observe,observar
occur,ocorrer
idea,idéia
other,outro
either,também
add,adicionar
edge,canto
age,idade
effect,efeito
often,muitas-vezes
offer,oferecer
office,escritório
if,se
off,desligado
afraid,com medo
after,após
ago,atrás
egg,ovo
again,de novo
against,contra
agree,concordar
exact,exato
example,exemplo
act,agir
excite,instigar
oxygen,oxigênio
exercise,exercício
except,exceto
expect,esperar
experiment,experimento
experience,experiência
allow,permitir
electric,elétrico
element,elemento
island,ilha
always,sempre
oil,óleo
all,todo
old,velho
also,também
else,outro
imagine,imaginar
among,entre
am,sou / estou
any,qualquer
unit,unidade
enough,bastante
enemy,inimigo
animal,animal
enter,entrar
energy,energia
an,um / uma
in,em / dentro
on,em
own,próprio
include,incluir
indicate,indicar
under,sob
industry,indústria
and,e
end,fim / finalizar
anger,raiva
engine,motor
only,somente
interest,interesse / juros
insect,inseto
instant,instante
answer,resposta
instrument,instrumento
util,até
inch,polegada
invent,inventar
apple,maçã
open,aberto
operate,operar
appear,aparecer
opposite,oposto
up,para-cima
equate,equacionar
equal,igual
area,área
original,original
arrange,arranjar
arrive,chegar
air,ar
are,são / estão
art,arte
our,nosso
hour,hora
ear,orelha / espiga
or,ou
order,ordem / pedido
organ,órgão
early,cedo
arm,braço
iron,ferro
earth,terra
as,como / enquanto
ice,gelo
us,nos
test,teste
east,leste
is,é
ocean,oceano
ask,pedir / perguntar
especially,especialmente
atom,átomo
each,cada
even,mesmo
event,evento
ever,sempre / já
over,sobre / acima-de
of,de
evening,noite
every,cada
ease,facilitar
use,usar
usual,usual / comum
beauty,beleza
bottom,baixo
better,melhor
but,mas
bat,morcego / bastão
buy,comprar
by,por
bit,pouco / broca
be,ser / estar
beat,bater
bought,comprado
boy,garoto
boat,barco
baby,bebê
bad,mal
bed,cama
body,corpo
before,antes
began,começado
big,grande
begin,começar
back,atrás / costas
book,livro
box,caixa
believe,acreditar
bell,sino
ball,bola
build,construir
been,sido / estado
bone,osso
band,banda
bank,banco
bar,bar / barra
bear,urso / carregar
bird,pássaro
board,quadro
burn,queimar
born,nascido
behind,atrás
basic,básico
base,base
best,melhor
both,ambos
between,entre
beach,praia
busy,ocupado
blow,assoprar
blue,azul
blood,sangue
black,negro
block,bloco
bright,claro
brought,trazido
brother,irmão
bread,pão
broad,amplo
break,quebrar
broke,quebrado
brown,marrom
branch,galho
bring,trazer
city,cidade
cut,cortar
cow,vaca
caught,pego
coat,casaco
could,poderia
cook,cozinhar
collect,recolher / pagar
column,coluna
colony,colonia
color,cor / colorir
cell,cela / célula
call,chamar
cool,frio
cold,frio
common,comum
come,vir
company,companhia / empresa
compare,comparar
complete,completo
connect,conectar
continent,continente
count,contar / contagem
cent,centavo
condition,condição
consider,considerar
consonant,consoante
continue,continuar
contain,conter
center,centro
country,país
century,século
control,controle
copy,copiar
correct,correto
current,atual
car,carro
card,cartão
chord,acorde
corner,esquina
corn,milho
course,curso
cost,custo
coast,costa / litoral
cotton,algodão
cover,cobrir
cause,causa
cloud,nuvem
clothe,vestir
clock,relógio
climb,escalar
claim,clamar
clean,limpo
clear,claro
class,classe
close,fechar
cry,choro / chorar
create,criar
crowd,multidão
crop,colheita
crease,ruga
cross,cruz / cruzar
die,morrer
day,dia
do,fazer / mesmo
the,o / a / os / as
that,que / aquele
they,eles
double,dobro
doctor,doutor
dad,papai
dead,morto
did,fez / mesmo
difficult,difícil
differ,diferir
dog,cachorro
degree,grau
duck,pato / mergulhar
dictionary,dicionário
dollar,dólar
deal,negócio
them,deles
done,feito
down,baixo
don't,não
than,que
then,então
danger,perigo
dance,dança
depend,depender
deep,profundo
direct,direto
during,durante
dear,querido
door,porta
their,seus
there,lá
dark,escuro
decide,decidir
decimal,decimal
distant,distante
death,morte
